error1count,error2count,error3count,error4count,error5count,voltmean_24hrs,rotatemean_24hrs,pressuremean_24hrs,vibrationmean_24hrs,voltsd_24hrs,rotatesd_24hrs,pressuresd_24hrs,vibrationsd_24hrs,voltmean,rotatemean,pressuremean,vibrationmean,voltsd,rotatesd,pressuresd,vibrationsd,sincelastcomp1,sincelastcomp2,sincelastcomp3,sincelastcomp4,failure
0,0,0,0,0,171.3273083,442.4475441,96.28455881,40.15000461,13.01267882,50.33350189,11.67241793,4.018150758,179.360499,378.7131853,91.98329499,43.78886703,21.90092872,48.77045216,3.859466579,5.112189909,11.75,244.75,11.75,26.75,0
0,0,0,0,0,167.7245213,440.2566819,99.17007468,39.3694998,12.84544731,39.71424444,10.66039128,5.235117352,175.4995433,434.9035767,100.9119352,36.52099904,3.014683666,39.2867769,5.600816512,8.356213381,229.75,169.75,199.75,13.75,0
0,0,0,0,0,164.8412368,449.808978,101.4959375,40.71475862,11.02690005,57.41820433,13.12738474,5.375879643,168.7591101,427.9905208,109.748988,40.16280225,16.26236119,69.21163199,19.27683849,4.651578223,169.75,24.75,229.75,9.75,0
0,0,0,0,0,168.8106133,444.2002535,101.1156824,41.57003101,11.27570738,53.64129035,8.354278185,4.983737402,166.4224711,425.1233884,99.70583516,37.39947083,7.822753143,31.0335403,6.425445382,8.151472714,184.75,14.75,79.75,49.75,0
1,0,0,0,0,171.2457811,457.7089098,100.3804122,40.56695339,15.40520349,44.88845082,8.272290659,3.634680239,161.0319238,472.5385958,96.78407661,40.9301506,21.69940433,18.00595168,2.447750473,5.792965448,109.75,7.75,169.75,124.75,0
0,0,0,0,0,171.6992277,475.3385183,99.64253062,37.64524013,15.97861777,57.26705226,10.72141857,4.87078594,169.0042458,421.3435944,96.67551068,42.10627177,26.06858736,20.53193084,8.884827069,5.50799185,34.75,244.75,139.75,9.75,0
0,0,0,0,0,165.297391,455.5105439,100.9114948,40.26644746,17.91419101,57.38557404,9.438351637,4.677369421,152.4382881,505.5593139,97.83379841,36.4679993,28.04366677,107.686655,9.802362583,1.613050362,214.75,7.75,214.75,7.75,0
0,0,0,0,0,173.9618041,453.958115,96.16352216,38.8225281,15.51401309,53.02399364,9.624991696,7.187109324,168.4302846,491.8135137,94.65076543,44.98703678,5.568863565,29.66581733,5.689763956,7.860074287,10.75,109.75,154.75,25.75,0
0,0,0,0,0,167.6579785,438.1045545,98.23638913,38.29637688,14.37712354,44.71194745,11.850499,5.773802482,167.8319757,434.664304,100.0239835,38.68682376,11.20823718,74.64545479,8.792825792,4.096913542,244.75,244.75,34.75,64.75,0
0,0,0,0,0,173.9627314,444.9894286,100.1188576,41.65275422,15.31039848,43.38872807,8.266431121,4.914918628,173.1186936,505.0148304,105.1719823,40.24990075,9.653229017,30.94734783,12.8957939,3.273146185,109.75,12.75,12.75,27.75,0
